function_name,return_type,arg_types,arg_count,dll_name
CreateContext,HRESULT,HRECOGNIZER;HRECOCONTEXT *,2,inkobjcore.dll
DestroyContext,HRESULT,HRECOCONTEXT,1,inkobjcore.dll
GetResultPropertyList,HRESULT,HRECOGNIZER;ULONG *;GUID *,3,inkobjcore.dll
GetUnicodeRanges,HRESULT,HRECOGNIZER;ULONG *;CHARACTER_RANGE *,3,inkobjcore.dll
AddStroke,HRESULT,HRECOCONTEXT;const PACKET_DESCRIPTION *;ULONG;const BYTE *;const XFORM *,5,inkobjcore.dll
GetBestResultString,HRESULT,HRECOCONTEXT;ULONG *;WCHAR *,3,inkobjcore.dll
SetGuide,HRESULT,HRECOCONTEXT;const RECO_GUIDE *;ULONG,3,inkobjcore.dll
AdviseInkChange,HRESULT,HRECOCONTEXT;BOOL,2,inkobjcore.dll
EndInkInput,HRESULT,HRECOCONTEXT,1,inkobjcore.dll
Process,HRESULT,HRECOCONTEXT;BOOL *,2,inkobjcore.dll
SetFactoid,HRESULT,HRECOCONTEXT;ULONG;const WCHAR *,3,inkobjcore.dll
SetFlags,HRESULT,HRECOCONTEXT;DWORD,2,inkobjcore.dll
GetLatticePtr,HRESULT,HRECOCONTEXT;RECO_LATTICE **,2,inkobjcore.dll
SetTextContext,HRESULT,HRECOCONTEXT;ULONG;const WCHAR *;ULONG;const WCHAR *,5,inkobjcore.dll
SetEnabledUnicodeRanges,HRESULT,HRECOCONTEXT;ULONG;CHARACTER_RANGE *,3,inkobjcore.dll
IsStringSupported,HRESULT,HRECOCONTEXT;ULONG;const WCHAR *,3,inkobjcore.dll
